MAP_PAR_ID,j_new_cons,j_renovati,j_occupanc,ownertype,j_zip,Year,valuation,Long,Lat
1806722000,FALSE,FALSE,1-2FAM,*,2131,2015,12250,-71.11902454,42.27752943
1900702000,FALSE,FALSE,1-2FAM,*,2130,2014,400,-71.11014681,42.31677109
1900803000,FALSE,FALSE,1-2FAM,*,2130,2023,12000,-71.10926922,42.31632196
1301325000,FALSE,TRUE,1-2FAM,*,2125,2020,4900,-71.06699782,42.31600802
1301271000,FALSE,FALSE,1-3FAM,*,2125,2023,41776,-71.06858328,42.31625803
2007715000,FALSE,TRUE,1-2FAM,*,2132,2019,14875,-71.16363388,42.28605495
2007723000,FALSE,FALSE,1-2FAM,*,2132,2020,975,-71.16448708,42.28692779
1901058000,FALSE,FALSE,Multi,*,2130,2022,8000,-71.112261,42.31345549
2100227000,FALSE,TRUE,1Unit,t,2215,2012,26250,-71.10644133,42.34666141
1802290000,FALSE,TRUE,1-2FAM,*,2126,2018,7370.9,-71.10077422,42.27323626
1301131000,FALSE,TRUE,1-2FAM,*,2125,2011,6600,-71.06973404,42.31661046
1803673000,FALSE,TRUE,,*,2126,2022,1500,-71.10527555,42.26811048
1303114000,FALSE,FALSE,1-2FAM,t,2125,2023,8136,-71.05448356,42.31746549
1102849000,FALSE,TRUE,1-3FAM,*,2130,2018,2000,-71.10647679,42.30585343
2201326000,FALSE,TRUE,Comm,c,2134,2019,1250000,-71.13654139,42.35782513
1603507000,FALSE,FALSE,1-2FAM,*,2122,2011,2603,-71.05170248,42.28539158
1500911000,FALSE,TRUE,1-3FAM,t,2124,2023,250,-71.06998706,42.30204433
1600796000,FALSE,FALSE,1-3FAM,*,2124,2019,4500,-71.06403279,42.29786546
1303084000,FALSE,FALSE,1-3FAM,*,2125,2022,250,-71.05492624,42.31805168
1000129001,FALSE,FALSE,Mixed,c,2120,2020,2000,-71.10397221,42.33410713
1804038000,FALSE,FALSE,1-2FAM,*,2126,2023,14000,-71.10839532,42.26926211
2201150000,FALSE,TRUE,1-3FAM,t,2134,2021,29640,-71.13397551,42.36122335
2004865000,FALSE,TRUE,1-3FAM,t,2131,2022,23550,-71.13511272,42.28921395
2004897000,FALSE,FALSE,1-2FAM,*,2131,2016,1000,-71.13415205,42.28994923
1602262000,FALSE,TRUE,1-3FAM,o,2122,2022,1092,-71.05220074,42.29227713
2200910000,FALSE,FALSE,Comm,t,2135,2011,100,-71.13994796,42.35996117
2200643000,FALSE,FALSE,1-2FAM,*,2135,2024,13000,-71.14254819,42.36094958
2008116000,FALSE,FALSE,1-2FAM,*,2132,2011,8000,-71.16237072,42.28316985
1703494000,FALSE,FALSE,1-2FAM,*,2126,2020,10066,-71.07508941,42.27727096
1703469000,FALSE,FALSE,1-2FAM,*,2126,2021,300,-71.07614291,42.27782925
1802441000,FALSE,FALSE,Comm,t,2126,2024,8500,-71.10655339,42.2744751
2008850000,FALSE,FALSE,1-2FAM,t,2132,2023,19250,-71.16004573,42.28012598
2008539000,FALSE,FALSE,1-2FAM,*,2132,2015,4500,-71.16888155,42.28428218
2008849000,FALSE,TRUE,1-2FAM,o,2132,2015,6000,-71.16017313,42.28022717
1803257000,FALSE,FALSE,1-2FAM,*,2126,2018,4177,-71.09781743,42.28076051
1900623000,FALSE,TRUE,1-2FAM,t,2130,2021,5900,-71.10560341,42.3165118
2200925000,FALSE,FALSE,1-3FAM,c,2135,2015,0,-71.14085816,42.35945383
1807085000,FALSE,FALSE,1-2FAM,*,2136,2011,3480,-71.10990232,42.2635809
1703371000,FALSE,FALSE,1-2FAM,*,2126,2022,6000,-71.07319408,42.27584926
1302710000,FALSE,TRUE,1-3FAM,c,2125,2020,2553,-71.05377337,42.31449857
2008902000,TRUE,FALSE,1-2FAM,c,2132,2021,2541000,-71.16254114,42.27805644
2008874000,FALSE,FALSE,1-2FAM,t,2132,2014,1225,-71.16092086,42.27970104
1702263000,FALSE,TRUE,1-2FAM,*,2124,2023,15000,-71.06956529,42.29823254
1803144000,FALSE,FALSE,1-2FAM,*,2126,2014,10500,-71.09567103,42.27767481
1600361000,FALSE,TRUE,1-3FAM,*,2122,2021,10502.08,-71.0551614,42.29576097
1701648000,FALSE,FALSE,Other,*,2124,2011,2000,-71.08217016,42.28407412
1501140000,FALSE,FALSE,1-3FAM,*,2122,2018,5000,-71.0675728,42.3020114
1501158000,FALSE,FALSE,1-2FAM,*,2122,2023,45381,-71.06514423,42.30272494
2009117000,FALSE,TRUE,1-2FAM,*,2132,2018,10000,-71.17075786,42.28252936
2009103000,FALSE,FALSE,1-2FAM,*,2132,2023,3287.34,-71.1703091,42.28368925
1405196670,TRUE,FALSE,1-2FAM,t,2124,2013,289000,-71.09184394,42.29160525
1001934000,FALSE,TRUE,1-2FAM,t,2130,2022,31500,-71.10727445,42.32443958
1902596000,FALSE,TRUE,1-2FAM,*,2130,2024,18000,-71.12979459,42.30304163
1902433000,FALSE,TRUE,1-2FAM,*,2130,2018,11173,-71.13395688,42.30902749
1900710000,FALSE,TRUE,1-7FAM,c,2130,2020,600,-71.1094458,42.31777962
2009539000,FALSE,TRUE,1-2FAM,*,2132,2014,15000,-71.16237166,42.27317594
1301075000,FALSE,FALSE,Multi,*,2125,2018,14500,-71.06928964,42.31787465
1301251010,FALSE,FALSE,1-2FAM,*,2125,2012,8000,-71.06949264,42.31553751
2010358000,FALSE,TRUE,1-2FAM,*,2132,2023,2760.46,-71.16673618,42.27522295
1807633004,FALSE,FALSE,1-2FAM,*,2136,2016,25000,-71.11737903,42.26435018
1202115000,FALSE,FALSE,1-2FAM,*,2121,2020,30000,-71.08831612,42.31421367
1503120000,FALSE,FALSE,Comm,c,2125,2020,144590,-71.05666652,42.30936529
1202591000,FALSE,TRUE,1-2FAM,t,2121,2023,415000,-71.0840051,42.31132668
1202243000,FALSE,TRUE,1-2FAM,*,2121,2022,850,-71.08826943,42.31107539
1806643000,FALSE,FALSE,Comm,*,2131,2021,166,-71.11871594,42.27963859
2008913000,FALSE,FALSE,Comm,c,2132,2017,2500,-71.16518435,42.27730649
1807822000,FALSE,FALSE,1-2FAM,*,2136,2018,16896,-71.11863343,42.26915031
2009545000,FALSE,TRUE,1-2FAM,*,2132,2010,100,-71.16262677,42.27407072
1404979000,FALSE,TRUE,1-2FAM,*,2126,2021,1000,-71.09373683,42.28258032
1404781000,FALSE,FALSE,1-2FAM,*,2126,2015,4817,-71.09856449,42.28264166
1602242003,FALSE,FALSE,1-2FAM,*,2122,2021,1500,-71.05131892,42.29170764
1800754000,FALSE,FALSE,1-2FAM,*,2126,2021,32175,-71.08440535,42.27945631
1302229000,FALSE,TRUE,Multi,t,2125,2023,27846,-71.05236752,42.30995169
2008684000,FALSE,TRUE,1-2FAM,*,2132,2011,5000,-71.16271278,42.28026287
1900930000,FALSE,TRUE,1-3FAM,o,2130,2017,1200,-71.11067847,42.31373089
1901091000,FALSE,FALSE,1-2FAM,*,2130,2023,9000,-71.11206541,42.31371043
1602040000,FALSE,TRUE,1-2FAM,*,2122,2017,1650,-71.05470704,42.29022334
2006601000,FALSE,TRUE,Other,t,2132,2018,1960,-71.1601804,42.28671077
1807364000,FALSE,TRUE,1-2FAM,*,2136,2021,6500,-71.11409828,42.26821774
1900695000,FALSE,TRUE,1-2FAM,*,2130,2015,126200,-71.10940767,42.31703587
1801911000,FALSE,FALSE,1-2FAM,*,2126,2022,34627,-71.09812221,42.27223759
1301752000,FALSE,FALSE,1-2FAM,*,2125,2017,4016.05,-71.06641842,42.31483877
1501730000,FALSE,TRUE,Mixed,t,2122,2018,229,-71.06568955,42.30777773
1806834000,FALSE,TRUE,1-2FAM,*,2131,2023,14000,-71.11943506,42.27549246
1803582000,FALSE,FALSE,1-2FAM,*,2126,2021,8658,-71.10598613,42.27037997
1803983000,FALSE,TRUE,1-2FAM,*,2126,2021,3000,-71.10898127,42.2689031
1701651000,FALSE,FALSE,1-2FAM,*,2124,2019,1100,-71.08269246,42.28391534
2204642000,FALSE,FALSE,1-2FAM,c,2135,2020,500,-71.16774109,42.34904209
1103238000,FALSE,TRUE,1-3FAM,t,2130,2020,8350,-71.11359263,42.30379662
1200434000,FALSE,TRUE,1-2FAM,*,2119,2022,4900,-71.07833596,42.32032013
1302883000,FALSE,FALSE,1-2FAM,*,2125,2023,16000,-71.0549952,42.31447967
1200428000,FALSE,TRUE,1-2FAM,*,2119,2017,16500,-71.07797714,42.320596
1404717000,FALSE,FALSE,1-3FAM,*,2126,2013,3520,-71.09327921,42.28472231
1202626000,FALSE,FALSE,1-2FAM,*,2121,2015,5800,-71.08256372,42.31104207
1202447000,FALSE,FALSE,1-2FAM,c,2121,2021,5000,-71.08485732,42.30837281
1303096000,FALSE,TRUE,1-3FAM,t,2125,2010,8200,-71.05438834,42.31859254
1803793000,FALSE,FALSE,1-2FAM,*,2126,2017,7000,-71.10542441,42.26647172
1803574002,FALSE,FALSE,1-2FAM,*,2126,2018,11800,-71.10724394,42.27020603
1103647000,FALSE,FALSE,1-2FAM,*,2130,2020,165,-71.11257334,42.29907253
1200500000,FALSE,TRUE,1-2FAM,*,2119,2023,300,-71.08317212,42.3222418
1202727000,FALSE,FALSE,Comm,*,2121,2021,4500,-71.08118866,42.31260783
1202555000,FALSE,TRUE,Multi,c,2121,2021,40000,-71.08594108,42.31089059
1303111000,FALSE,TRUE,1-3FAM,c,2125,2019,6000,-71.05432424,42.31777899
1202586000,FALSE,FALSE,1Unit,*,2121,2010,487,-71.08473875,42.31179425
1603636000,FALSE,TRUE,1-3FAM,c,2122,2021,2500,-71.05429248,42.2846018
1804230000,FALSE,FALSE,1-2FAM,*,2126,2024,35726.5,-71.10721189,42.2642135
1807917000,FALSE,FALSE,1-2FAM,*,2136,2023,7500,-71.11946667,42.27142481
2008699000,FALSE,TRUE,1-2FAM,*,2132,2018,24277.15,-71.16461743,42.28120567
1806805000,FALSE,FALSE,1-2FAM,*,2136,2010,10000,-71.11921649,42.27385716
2010608006,FALSE,TRUE,1-2FAM,t,2132,2022,5000,-71.16682016,42.27003897
1603640000,FALSE,TRUE,1-3FAM,o,2122,2018,24400,-71.05367021,42.28460228
1800844000,FALSE,TRUE,1Unit,*,2126,2022,7000,-71.08807443,42.27870194
2008815000,FALSE,FALSE,1-2FAM,*,2132,2020,2500,-71.15930898,42.28103666
2010778020,FALSE,FALSE,1-2FAM,t,2132,2021,2500,-71.16287924,42.26039005
1902465020,FALSE,FALSE,1-2FAM,*,2130,2020,300,-71.12568628,42.30644345
1806872000,FALSE,FALSE,1-2FAM,t,2136,2021,100,-71.11772578,42.27516586
1806793000,FALSE,FALSE,1-2FAM,*,2131,2013,14770,-71.11891757,42.27585377
1800380000,FALSE,FALSE,1-2FAM,*,2126,2020,500,-71.08610349,42.27388004
1900780000,FALSE,TRUE,1-2FAM,*,2130,2016,13888.01,-71.11062525,42.31850641
1701643000,FALSE,TRUE,1-3FAM,*,2124,2018,2500,-71.08128103,42.28445906
1701630000,FALSE,TRUE,Multi,*,2124,2023,5000,-71.08029955,42.28592006
2006529000,FALSE,TRUE,1-2FAM,*,2132,2018,124000,-71.15818938,42.28664382
1901069000,FALSE,FALSE,1-2FAM,*,2130,2023,16000,-71.11271416,42.31344625
1301114000,FALSE,FALSE,1-2FAM,*,2125,2018,14879,-71.07035937,42.31503694
1301245000,FALSE,TRUE,1-2FAM,t,2125,2021,1500,-71.06894198,42.31658981
1806735000,FALSE,FALSE,1-2FAM,*,2131,2024,13377,-71.1185873,42.27747728
2009660001,FALSE,TRUE,1-2FAM,t,2132,2019,15000,-71.16470521,42.27167781
1403841000,FALSE,FALSE,1-7FAM,b,2124,2022,500,-71.07968915,42.28797486
1103293000,FALSE,TRUE,1-2FAM,c,2130,2024,27550,-71.11367219,42.30283748
1804333000,FALSE,FALSE,1-2FAM,*,2126,2023,300,-71.10637855,42.26475112
1800382002,FALSE,TRUE,1-2FAM,*,2126,2020,13500,-71.08631148,42.27222914
2009439009,FALSE,TRUE,Mixed,*,2132,2018,4500,-71.1635483,42.27441339
2009610000,FALSE,TRUE,1-2FAM,*,2132,2020,34535,-71.1624453,42.27236688
1405119000,FALSE,FALSE,1-2FAM,*,2126,2023,21932,-71.09520983,42.27910399
1806904000,FALSE,TRUE,1-2FAM,*,2136,2022,5000,-71.11859158,42.27441905
1807394000,FALSE,FALSE,1-2FAM,*,2131,2011,4000,-71.11078367,42.27395061
1807441000,FALSE,FALSE,1-2FAM,*,2131,2018,15000,-71.11018137,42.27360415
2008147000,FALSE,FALSE,1-2FAM,*,2132,2012,1000,-71.16345139,42.28470753
1807825001,FALSE,FALSE,1-2FAM,*,2136,2021,2500,-71.11808819,42.26828589
2010689014,FALSE,FALSE,1Unit,*,2132,2012,200,-71.16790908,42.27109282
1800677000,FALSE,FALSE,1-2FAM,*,2126,2023,40094,-71.0873955,42.27739478
1202779000,FALSE,TRUE,1-2FAM,*,2121,2010,8400,-71.08046881,42.31400806
1202520000,FALSE,TRUE,Multi,c,2121,2024,150,-71.08374797,42.30958891
1301220000,FALSE,FALSE,1-2FAM,*,2125,2011,500,-71.06879348,42.31751939
1807359000,FALSE,FALSE,1-2FAM,*,2136,2017,3000,-71.11314912,42.26851921
2010198000,FALSE,FALSE,1-2FAM,*,2132,2019,300,-71.16426182,42.26393163
2201171000,FALSE,FALSE,1-2FAM,*,2134,2012,2000,-71.13581536,42.36129469
2201223000,FALSE,TRUE,1-2FAM,*,2134,2019,1595,-71.1350543,42.35967997
1803858003,FALSE,TRUE,1-2FAM,*,2126,2015,4500,-71.10497807,42.2645014
1002003000,FALSE,TRUE,1-3FAM,*,2130,2012,3500,-71.10931955,42.32320152
2007762000,FALSE,TRUE,1-2FAM,*,2132,2017,5000,-71.16100297,42.28344865
2007811000,FALSE,TRUE,1-2FAM,*,2132,2020,10400,-71.16031815,42.28269168
1502717000,FALSE,TRUE,1-3FAM,*,2125,2015,15000,-71.06724852,42.31190659
1803713000,FALSE,FALSE,1-2FAM,*,2126,2022,7700,-71.10328869,42.26830819
2009776000,FALSE,FALSE,1-2FAM,*,2132,2012,18750,-71.16350118,42.2683672
1701635000,FALSE,FALSE,1-2FAM,*,2124,2015,400,-71.08091955,42.28520316
1403838000,FALSE,FALSE,1-2FAM,*,2124,2018,4411,-71.07972264,42.28780606
2008287000,FALSE,FALSE,1-2FAM,*,2132,2015,12013,-71.16225797,42.28161033
2008156000,FALSE,FALSE,1-2FAM,*,2132,2021,2795,-71.16366065,42.28427619
2010741000,FALSE,FALSE,1-2FAM,*,2132,2013,525,-71.16932732,42.27043609
1403889000,FALSE,TRUE,1-2FAM,c,2126,2023,3000,-71.08812065,42.28013978
