tract,total number of permits,corporate permits,individual permits,trust permits,condo association permits,city of boston permits,total declared valuation,number of new builds,number of renovations,median household income,population,normalized number of permits,total buyers,total buyers normalized
25025060400,830,114,449,208,56,3,427404603.53000003,23,507,27439,2377,0.349,1111,0.467395877
25025010300,58,14,31,12,0,1,1651240699.8400002,5,44,12204,1837,0.032,55,0.02994012
25025981100,19,3,13,0,0,3,17076470.16,1,8,0,90,0.211,20,0.222222222
25025981800,6,0,0,0,0,6,4293546.3,0,2,0,16,0.375,56,3.5
25025981700,3,0,0,0,0,3,6677688.6899999995,1,1,0,1,3,35,35
25025000601,437,91,282,53,6,5,169281208,15,184,20023,1929,0.227,323,0.167444272
25025000502,106,29,36,37,1,3,686590230.1700002,2,57,13504,3291,0.032,422,0.128228502
25025000701,179,66,69,43,1,0,32396425.830000002,2,94,12675,2151,0.083,319,0.148303115
25025110501,744,22,613,95,13,1,62517241.93999999,14,337,26547,1561,0.477,460,0.294682896
25025061101,17,5,6,1,0,5,117825577.50000001,2,9,4627,1184,0.014,8,0.006756757
25025000302,420,40,331,43,6,0,42802436.160000004,6,178,19084,1546,0.272,398,0.257438551
25025080900,287,128,116,39,2,2,299588987.58000004,8,160,28509,2280,0.126,185,0.081140351
25025060501,590,128,270,140,49,3,437414612.39000005,44,314,15691,2301,0.256,1185,0.514993481
25025050101,448,76,269,101,0,2,113678575.5,15,202,23460,2437,0.184,317,0.130077965
25025110607,1042,50,757,186,46,3,180192000.15999985,14,482,23974,2401,0.434,704,0.293211162
25025120104,347,20,224,88,14,1,70132643.69,9,182,25854,1050,0.33,345,0.328571429
25025120201,432,70,212,118,27,5,253826373.73999983,31,214,17273,2000,0.216,526,0.263
25025980300,4,0,3,0,0,1,27805112.54,1,3,0,88,0.045,46,0.522727273
25025000704,187,77,66,42,1,1,266038900.95000005,3,109,6250,2502,0.075,444,0.177458034
25025000703,110,56,41,13,0,0,137952145.03999996,1,55,8809,1161,0.095,73,0.06287683
25025010802,298,59,124,87,28,0,302328189.53000003,3,241,32229,1507,0.198,899,0.596549436
25025010204,158,44,23,85,5,1,2521292678.7400002,8,89,27511,1527,0.103,207,0.135559921
25025010404,139,57,56,25,1,0,186588640.45000005,3,95,7153,2712,0.051,293,0.108038348
25025000401,376,69,244,55,7,1,289386094.7,12,168,9175,2630,0.143,566,0.215209125
25025010405,84,23,45,14,1,1,956810935.6400001,4,50,4772,3206,0.026,185,0.057704304
25025081001,327,137,147,37,4,2,4125347933,17,155,13579,2667,0.123,231,0.086614173
25025020101,657,141,336,154,26,0,537357000.9399999,2,539,44052,1911,0.344,1059,0.554160126
25025020301,37,19,16,1,0,1,2653957210,3,29,38246,1072,0.035,192,0.179104478
25025020302,138,37,45,44,10,2,118032993.02000001,2,105,43330,639,0.216,334,0.522691706
25025040100,329,13,197,99,10,10,122921445.1,3,230,37113,1117,0.295,633,0.566696509
25025060603,23,5,6,1,0,11,5892175179,5,10,97389,765,0.03,12,0.015686275
25025070802,292,51,131,95,13,2,185003326.52999997,4,232,26562,1354,0.216,565,0.417282127
25025050901,479,125,255,92,0,7,180541065.2,22,215,27784,2236,0.214,333,0.148926655
25025051000,512,92,307,109,1,3,475052442.8,44,218,11244,2056,0.249,319,0.155155642
25025070801,49,24,15,9,0,1,191808767.66000003,1,23,0,519,0.094,145,0.27938343
25025060601,201,51,78,50,20,2,159233134.86999997,30,79,59700,1032,0.195,457,0.442829457
25025060301,574,97,286,153,35,3,134246542.03000003,12,335,26520,1660,0.346,791,0.476506024
25025080100,376,160,175,30,1,10,473832269.3099999,11,146,21397,1672,0.225,203,0.121411483
25025100700,831,71,639,112,7,2,134346019.04000002,21,351,17082,2120,0.392,520,0.245283019
25025120103,334,22,210,89,13,0,80777848.35999997,7,194,46600,766,0.436,238,0.310704961
25025130406,354,28,293,31,0,2,218457209.5,15,134,17923,2389,0.148,361,0.151109251
25025130404,497,32,408,54,0,3,159246948.2,16,164,26465,1428,0.348,419,0.293417367
25025010408,36,16,2,17,1,0,22086892.07,1,26,5610,673,0.053,121,0.179791976
25025010701,296,145,78,65,7,1,549290046.2,1,248,10569,1266,0.234,661,0.522116904
25025110403,870,20,715,120,12,3,93170660.43999997,13,312,18521,2037,0.427,542,0.266077565
25025040801,43,12,21,2,2,6,715814587.3,5,30,34240,1810,0.024,653,0.360773481
25025071201,105,41,28,20,5,11,650630033.1700001,6,66,11262,1757,0.06,408,0.232214001
25025120301,632,112,376,118,23,3,223893234.9,37,311,15621,2437,0.259,586,0.240459581
25025120105,594,14,504,75,0,1,590551200.5,14,276,26114,1093,0.543,447,0.408966148
25025140105,831,42,717,72,0,0,44525789.010000005,6,234,25801,1668,0.498,373,0.223621103
25025070901,79,37,30,11,1,0,22756224.229999997,0,54,20981,538,0.147,112,0.208178439
25025000402,423,65,282,69,4,3,269134779.71000004,15,176,15198,1909,0.222,335,0.175484547
25025000201,522,92,350,70,7,3,47068162.04999999,7,219,27874,1900,0.275,264,0.138947368
25025000202,478,72,342,58,5,1,75998783.02999999,11,206,33691,2065,0.231,243,0.117675545
25025000301,378,55,257,59,4,3,170107984.53999996,18,162,9595,1534,0.246,329,0.214471969
25025071101,230,57,111,54,7,1,1324963862.9600003,4,181,11855,2051,0.112,777,0.37883959
25025000506,128,36,54,32,6,0,46364493.6,1,68,24836,1366,0.094,336,0.245973646
25025010206,50,34,8,7,0,1,1579688087.8400002,6,29,24956,1074,0.047,185,0.172253259
25025030500,158,44,56,44,10,4,134430926.3,0,102,23921,1276,0.124,544,0.426332288
25025010500,187,74,59,47,7,0,1833345608.3600001,3,155,7271,1850,0.101,339,0.183243243
25025070302,196,53,84,47,8,4,1499176513.2299998,6,147,58848,1045,0.188,566,0.541626794
25025061203,143,41,47,45,7,3,450244973.4,25,58,66059,1327,0.108,708,0.533534288
25025091300,278,65,186,21,3,3,160288476.14999995,10,112,9761,1294,0.215,193,0.149149923
25025070103,10,0,4,4,0,2,46408024.96,1,5,35261,348,0.029,11,0.031609195
25025081301,183,50,112,19,0,2,308235650.6,6,92,17809,1113,0.164,75,0.067385445
25025070301,316,39,154,110,11,2,191846941.55999997,0,238,84163,1144,0.276,747,0.652972028
25025070102,113,58,38,15,0,2,631295705.6899999,3,94,45313,1869,0.06,997,0.533440342
25025070501,284,47,115,101,19,2,145053020.54000005,3,220,55051,1145,0.248,597,0.52139738
25025030302,164,96,37,17,2,12,5568896285,13,131,27761,1032,0.159,149,0.144379845
25025070201,63,22,37,3,0,1,693608062,4,43,30170,1705,0.037,218,0.127859238
25025040600,582,82,354,128,12,6,1153239945,26,326,23218,1788,0.326,809,0.45246085
25025010205,75,29,18,26,0,2,266955555.6,2,52,36145,2452,0.031,186,0.075856444
25025110105,267,30,159,66,11,1,32965358.04,9,127,32537,999,0.267,305,0.305305305
25025000806,39,12,26,0,0,1,2606737313,11,22,21227,1031,0.038,10,0.009699321
25025000102,306,108,157,35,5,1,1424619551,26,147,17365,1828,0.167,177,0.096827133
25025061201,317,97,150,54,16,0,206953354.14999995,36,130,66016,1086,0.292,522,0.480662983
25025020305,15,3,8,3,0,1,1732421458,3,9,30147,1802,0.008,316,0.17536071
25025020304,64,44,11,7,1,1,597118218.9100001,5,49,19081,921,0.069,35,0.038002172
25025130101,1264,35,1094,127,7,1,100908084.20999998,20,540,18783,2784,0.454,825,0.296336207
25025000505,81,40,27,12,0,2,111327165.49000001,2,32,15839,904,0.09,258,0.28539823
25025000604,149,39,92,12,2,4,57199071.50000001,1,65,19268,1286,0.116,186,0.144634526
25025030301,28,20,5,2,0,1,186090470.2,1,17,53604,668,0.042,566,0.847305389
25025000807,14,4,0,9,0,1,147033218.7,1,13,0,908,0.015,3,0.003303965
25025081101,56,17,23,9,7,0,355629862.41999996,5,35,11091,655,0.085,116,0.177099237
25025081102,187,45,105,35,1,1,54061686.89,9,97,15152,1585,0.118,217,0.136908517
25025000603,28,11,4,1,0,12,730250583.2,9,15,13167,853,0.033,45,0.052754982
25025070202,180,67,68,41,3,1,1313786944,7,116,24042,2681,0.067,146,0.054457292
25025000805,238,104,94,37,2,1,304957524.03999996,7,102,16934,2397,0.099,135,0.056320401
25025081302,120,39,58,15,3,5,179600934.1,4,50,4984,1364,0.088,94,0.068914956
25025110106,229,22,164,37,3,3,134200516.64999999,2,110,26847,606,0.378,171,0.282178218
25025070502,244,37,98,91,14,4,133725686.52999999,7,195,14023,1635,0.149,513,0.313761468
25025000101,241,39,160,38,3,1,46152062.74999999,6,99,9662,967,0.249,108,0.111685626
25025110104,211,32,152,22,2,3,38982642.95000001,7,84,42827,983,0.215,116,0.118006104
25025000804,421,102,272,40,5,2,2036610202,18,193,13515,2047,0.206,360,0.175867123
25025092000,656,70,528,52,0,6,112385281.39000008,10,283,14272,2448,0.268,303,0.12377451
25025092200,557,50,421,75,5,6,104337560.58999999,8,243,25737,1767,0.315,259,0.146576118
25025092300,437,63,338,31,0,5,74024854.34,14,167,21449,1476,0.296,255,0.172764228
25025092400,560,136,365,45,7,7,126717257.14000003,30,243,15230,2652,0.211,331,0.124811463
25025100100,565,78,436,38,0,13,136675290.20000005,69,227,8258,2489,0.227,323,0.129770992
25025100200,388,55,291,31,3,8,42852352.76,19,137,12378,1274,0.305,222,0.174254317
25025140201,351,42,285,20,2,2,90062067.32999997,13,100,9212,1131,0.31,193,0.170645447
25025082100,302,101,175,22,0,4,131136769.79000002,4,168,9984,2243,0.135,172,0.076683014
25025050500,146,55,40,48,0,3,340057586.7,12,66,13219,1119,0.13,163,0.145665773
25025101101,428,37,360,29,1,1,189562736.94000006,11,176,24852,1579,0.271,211,0.133628879
25025101102,539,87,395,47,3,7,65890642.79000001,16,209,8870,2129,0.253,324,0.152184124
25025110401,516,44,402,63,4,3,70478922.29999998,11,204,11123,1709,0.302,384,0.224692803
25025120600,379,33,232,86,27,1,40444404.32,6,219,24394,1162,0.326,371,0.319277108
25025091700,371,35,303,27,5,1,72497110.18999998,4,167,6952,1549,0.24,196,0.126533247
25025030100,212,57,97,51,6,1,57195874.82,2,140,14048,956,0.222,250,0.261506276
25025110502,770,53,582,112,20,3,135647171.77000004,16,312,19708,1908,0.404,515,0.269916143
25025010600,80,34,24,15,4,3,3070969093.7099996,4,63,21741,1660,0.048,462,0.278313253
25025120500,262,35,171,45,9,2,32385900.679999992,3,112,38742,1125,0.233,295,0.262222222
