ct20_id,avg_permit_val,total permit valuation,total_num_permits,num_permit_norm,norm_perm_val,pop,num_sales_transactions,norm_num_transactions,mhi,total sales value,avg_sales_value,total_price_diff,price_diff_norm
25017341600,0,0,0,0,0,6985,784,0.112240515,81910,0,0,0,0
25017350202,0,0,0,0,0,3860,530,0.137305699,114622,0,0,0,0
25017383501,0,0,0,0,0,4674,305,0.0652546,53929,0,0,0,0
25017336300,0,0,0,0,0,6985,1155,0.165354331,144737,0,0,0,0
25025030301,9195.533767,11522003.81,28,0.020216606,8319.136325,1385,566,0.40866426,119720,2244195193,1791057.616,31733.21,22.91206498
25017355000,0,0,0,0,0,3129,343,0.109619687,124250,0,0,0,0
25023503102,0,0,0,0,0,7428,1066,0.143511039,151678,0,0,0,0
25009210402,0,0,0,0,0,4133,570,0.137914348,93438,0,0,0,0
25021401202,0,0,0,0,0,1707,254,0.148799063,89294,0,0,0,0
25009217602,0,0,0,0,0,4756,466,0.097981497,223134,0,0,0,0
25009208401,0,0,0,0,0,2968,382,0.128706199,118807,0,0,0,0
25017358300,0,0,0,0,0,6380,712,0.111598746,200242,0,0,0,0
25017352102,0,0,0,0,0,2663,565,0.212166729,135078,0,0,0,0
25017358400,0,0,0,0,0,5285,880,0.166508988,159970,0,0,0,0
25017333601,0,0,0,0,0,1550,176,0.113548387,127944,0,0,0,0
25025070302,3717.420279,5460890.39,196,0.093779904,2612.866215,2090,566,0.270813397,151513,2856561910,1944562.226,118044058.9,56480.41096
25025110401,1587.489127,1509702.16,516,0.142344828,416.4695614,3625,384,0.105931034,78468,371272577,390402.2892,29523350.79,8144.372632
25025000804,3430.874406,3207867.57,421,0.110411749,841.2975531,3813,360,0.094413847,100048,952554596,1018774.969,117118.93,30.71569106
25025101101,4506.7369,2762629.72,428,0.121521863,784.3923112,3522,211,0.059909143,59226,236483103,385779.9396,132937.3,37.74483248
25025081400,7442.12906,6333251.83,457,0.12109168,1678.127141,3774,350,0.092739799,59464,457914549,538089.9518,243473.37,64.51334658
25025160502,0,0,0,0,0,5604,595,0.106174161,53692,0,0,0,0
25025092300,17078.52484,12381930.51,437,0.132384126,3750.963499,3301,255,0.077249318,71667,307285251,423841.7255,3827416.03,1159.471684
25025070102,4094.951025,9868831.97,113,0.030648223,2676.656352,3687,997,0.270409547,55724,3593275900,1490985.851,222789.83,60.42577434
25009221700,0,0,0,0,0,2878,333,0.115705351,64375,0,0,0,0
25017331300,0,0,0,0,0,7477,1000,0.13374348,148375,0,0,0,0
25009203302,0,0,0,0,0,4443,943,0.212243979,136369,0,0,0,0
25021443106,0,0,0,0,0,5540,793,0.143140794,106111,0,0,0,0
25009221100,0,0,0,0,0,4348,710,0.163293468,96339,0,0,0,0
